+----------------------------------+-------------+-----------------+
|            Algorithm             | Precision@5 |      NDCG@5     |
|  +(/(1(),#36()),/(#36(),#38()))  |    0.104    | 0.0697520612405 |
|   /(exp(#22()),*(#38(),#22()))   |    0.112    | 0.0698148482372 |
|  /(+(1(),#20()),*(#38(),#22()))  |    0.104    | 0.0700165893494 |
| /(/(#20(),#38()),+(#36(),#22())) |    0.104    | 0.0701245284189 |
|   /(exp(#36()),+(#20(),#38()))   |    0.112    | 0.0704031996522 |
|  /(+(1(),#36()),+(#36(),#22()))  |    0.112    | 0.0706627209126 |
|   +(+(1(),#20()),/(1(),#38()))   |    0.104    | 0.0706979246289 |
|   /(/(#36(),#22()),log(#38()))   |    0.096    | 0.0707386009784 |
|  /(sqrt(#36()),+(#36(),#38()))   |     0.12    | 0.0708307234883 |
|  /(sqrt(#36()),+(#38(),#22()))   |    0.096    | 0.0710377289784 |
|  /(/(#36(),#38()),sqrt(#20()))   |    0.096    | 0.0712831071143 |
| /(/(#36(),#20()),+(#20(),#38())) |     0.12    | 0.0712862760438 |
|    /(+(1(),#20()),exp(#22()))    |    0.096    | 0.0712915404218 |
|  /(+(1(),#22()),+(#38(),#22()))  |    0.104    | 0.0714288150045 |
|  /(sqrt(#20()),*(#38(),#22()))   |    0.112    | 0.0716288826814 |
|  /(/(#36(),#38()),sqrt(#22()))   |    0.096    | 0.0718162927595 |
|   /(exp(#20()),*(#38(),#22()))   |    0.112    | 0.0718884039418 |
|   /(/(#20(),#38()),log(#20()))   |    0.104    | 0.0719088607084 |
| /(/(#36(),#20()),+(#36(),#38())) |     0.12    |  0.072064839825 |
|  /(+(1(),#36()),+(#20(),#22()))  |    0.128    | 0.0723785563884 |
|    /(/(1(),#36()),exp(#38()))    |     0.12    | 0.0723832957387 |
|  /(/(#20(),#38()),+(1(),#36()))  |    0.104    | 0.0724221622581 |
| /(/(#20(),#22()),+(#38(),#22())) |    0.096    | 0.0724714614555 |
|    /(exp(1()),+(#20(),#38()))    |     0.12    | 0.0726522207733 |
|   /(exp(#36()),+(#38(),#38()))   |    0.112    | 0.0729341397337 |
|  +(/(1(),#38()),/(#36(),#38()))  |    0.104    |  0.07294694575  |
|      /(exp(1()),exp(#22()))      |    0.096    | 0.0730584757623 |
| /(+(#20(),#22()),*(#38(),#22())) |     0.12    | 0.0732411760134 |
|  /(/(#20(),#36()),+(1(),#22()))  |    0.112    | 0.0732506123726 |
|   /(exp(#20()),+(#38(),#22()))   |    0.104    | 0.0733264598535 |
|  /(+(1(),#20()),+(#38(),#22()))  |    0.104    | 0.0735023707091 |
| /(/(#20(),#38()),+(#20(),#38())) |    0.112    | 0.0735211540405 |
| /(/(#36(),#36()),+(#20(),#38())) |     0.12    | 0.0735352971649 |
|  +(/(1(),#20()),/(#20(),#38()))  |    0.112    | 0.0736472726162 |
|  /(+(1(),#22()),+(#38(),#38()))  |    0.112    | 0.0740166738796 |
|  /(/(1(),#20()),/(#38(),#20()))  |    0.112    | 0.0740166738796 |
| /(+(#36(),#36()),+(#36(),#38())) |    0.104    | 0.0740958102447 |
| /(/(#36(),#38()),+(#36(),#22())) |    0.112    | 0.0742997178217 |
|  /(/(1(),#20()),/(#38(),#36()))  |    0.112    | 0.0743050852141 |
|  +(/(1(),#38()),/(#20(),#22()))  |    0.104    | 0.0744174030899 |
| /(/(#20(),#36()),*(#38(),#22())) |     0.12    | 0.0746517282334 |
|      /(exp(1()),exp(#38()))      |    0.096    | 0.0746996591685 |
|           /(1(),#38())           |    0.112    | 0.0749317062604 |
|  /(sqrt(#22()),*(#38(),#22()))   |     0.12    | 0.0749401395679 |
|   /(/(#20(),#38()),log(#36()))   |    0.112    | 0.0749614084151 |
|   /(/(1(),#38()),sqrt(#22()))    |    0.112    |  0.075220117595 |
| /(/(#20(),#38()),+(#36(),#38())) |    0.112    | 0.0752209296754 |
| /(+(#36(),#20()),+(#38(),#38())) |    0.104    | 0.0752454463357 |
|   /(log(#22()),*(#38(),#22()))   |     0.12    | 0.0754302920146 |
