+----------------+-------------+-----------------+
|   Algorithm    | Precision@5 |      NDCG@5     |
| /(#44(),#15()) |     0.16    |  0.151514682665 |
| /(#18(),#42()) |    0.176    |  0.152036293935 |
| /(#40(),#23()) |     0.2     |  0.152970582321 |
| /(#13(),#23()) |    0.208    |  0.153034230157 |
| /(#39(),#38()) |    0.168    |  0.153037840342 |
| /(#41(),#23()) |    0.184    |  0.153059989905 |
| /(#42(),#39()) |    0.176    |  0.154814987588 |
| /(#16(),#37()) |     0.2     |  0.155368230021 |
| /(#18(),#23()) |    0.184    |  0.15540140194  |
| /(#13(),#22()) |    0.208    |  0.158372360897 |
| /(#17(),#14()) |    0.192    |  0.15852189684  |
| *(#18(),#42()) |    0.184    |  0.158729880791 |
| *(#42(),#18()) |    0.184    |  0.158729880791 |
| /(#16(),#4())  |    0.232    |  0.158950824491 |
| /(#19(),#14()) |     0.2     |  0.159034389174 |
| /(#42(),#19()) |    0.176    |  0.159202873509 |
| /(#19(),#36()) |    0.192    |  0.160238341481 |
| /(#3(),#38())  |    0.216    |  0.160339799073 |
| *(#34(),#41()) |    0.208    |  0.160423809828 |
| *(#41(),#34()) |    0.208    |  0.160423809828 |
| /(#12(),#38()) |     0.2     |  0.160461954346 |
| *(#35(),#41()) |    0.208    |  0.160486329327 |
| *(#41(),#35()) |    0.208    |  0.160486329327 |
| /(#15(),#14()) |     0.2     |  0.160504846514 |
| /(#21(),#38()) |     0.2     |  0.16063549761  |
| /(#40(),#37()) |    0.208    |  0.160666771535 |
| /(#42(),#37()) |    0.184    |  0.160873514231 |
| *(#17(),#41()) |    0.192    |  0.160908191396 |
| *(#41(),#17()) |    0.192    |  0.160908191396 |
| /(#16(),#38()) |    0.208    |  0.16097844868  |
| /(#17(),#38()) |     0.2     |  0.16098127536  |
| /(#20(),#0())  |    0.184    |  0.161005448102 |
| /(#44(),#23()) |    0.184    |  0.16106831753  |
| +(#42(),#44()) |    0.192    |  0.161235532242 |
| +(#44(),#42()) |    0.192    |  0.161235532242 |
| /(#40(),#19()) |    0.208    |  0.16137100896  |
| /(#3(),#10())  |     0.2     |  0.161394513625 |
| *(#43(),#44()) |    0.176    |  0.161423467348 |
| *(#44(),#43()) |    0.176    |  0.161423467348 |
| /(#42(),#15()) |    0.176    |  0.16145189463  |
| /(#17(),#0())  |    0.192    |  0.162184457599 |
| /(#40(),#39()) |    0.208    |  0.162442601201 |
| /(#17(),#22()) |     0.2     |  0.162482542934 |
| /(#44(),#39()) |    0.184    |  0.162625445093 |
| +(#34(),#41()) |     0.2     |  0.16263719786  |
| +(#41(),#34()) |     0.2     |  0.16263719786  |
| /(#17(),#10()) |     0.2     |  0.162679349396 |
|  /(1(),#19())  |    0.192    |  0.162763688737 |
| /(#42(),#21()) |    0.192    |  0.162999140267 |
| +(#41(),#44()) |    0.184    |  0.163426330165 |
| +(#44(),#41()) |    0.184    |  0.163426330165 |
| /(#19(),#4())  |    0.192    |  0.163468421082 |
| /(#42(),#23()) |     0.2     |  0.163691033826 |
| *(#40(),#42()) |    0.208    |  0.163772686204 |
| *(#42(),#40()) |    0.208    |  0.163772686204 |
| /(#4(),#10())  |    0.208    |  0.16407589543  |
| /(#12(),#22()) |     0.2     |  0.164092637612 |
| /(#12(),#37()) |    0.184    |  0.16412180618  |
| +(#41(),#42()) |    0.192    |  0.164212958223 |
| +(#42(),#41()) |    0.192    |  0.164212958223 |
| /(#15(),#4())  |    0.192    |  0.164938878422 |
| /(#36(),#0())  |    0.192    |  0.165033561352 |
| /(#15(),#36()) |     0.2     |  0.165075221477 |
| /(#19(),#10()) |    0.208    |  0.165128132884 |
| /(#17(),#21()) |    0.208    |  0.165144359012 |
| /(#42(),#36()) |    0.208    |  0.165210112379 |
| /(#41(),#42()) |    0.208    |  0.165359155377 |
| +(#33(),#41()) |     0.2     |  0.165410135537 |
| +(#41(),#33()) |     0.2     |  0.165410135537 |
| /(#13(),#38()) |    0.216    |  0.165617195923 |
| /(#28(),#22()) |     0.2     |  0.165620031749 |
| /(#40(),#28()) |    0.208    |  0.165659273399 |
| /(#44(),#42()) |    0.184    |  0.165701043976 |
| /(#32(),#0())  |    0.208    |  0.165932071395 |
| /(#40(),#15()) |    0.208    |  0.166086161014 |
| /(#23(),#21()) |    0.208    |  0.166088255092 |
| /(#23(),#22()) |    0.176    |  0.166114022081 |
| *(#33(),#41()) |    0.216    |  0.167034228335 |
| *(#41(),#33()) |    0.216    |  0.167034228335 |
| /(#32(),#10()) |    0.208    |  0.167049117004 |
| /(#16(),#21()) |    0.216    |  0.167098148769 |
|  /(1(),#15())  |     0.2     |  0.167114758546 |
| /(#42(),#10()) |    0.168    |  0.167158821971 |
| /(#42(),#14()) |     0.16    |  0.167245492193 |
| /(#16(),#22()) |    0.208    |  0.167777849872 |
| *(#17(),#40()) |    0.192    |  0.167862422506 |
| *(#40(),#17()) |    0.192    |  0.167862422506 |
| /(#21(),#4())  |    0.184    |  0.168137902387 |
| +(#18(),#41()) |    0.192    |  0.168234736003 |
| +(#41(),#18()) |    0.192    |  0.168234736003 |
| /(#33(),#21()) |     0.2     |  0.16829615109  |
| /(#19(),#15()) |    0.216    |  0.169085770058 |
| /(#32(),#38()) |    0.224    |  0.169101303848 |
| /(#40(),#22()) |    0.232    |  0.169235852603 |
